1.
선공 시 승률: 	27.245%
후공 시 승률: 	22.864%

2.
선공 시 방문 횟수 (위치, 횟수)
1, 29082
2, 33643
3, 37237
4, 27406
5, 31622
6, 18206
7, 16837
8, 14250
9, 15828
10, 13317
11, 11193
12, 9799
13, 8722
14, 9763
15, 43611
16, 29152
17, 15183
18, 6383
19, 1993
20, 9973
21, 11819
22, 24957
23, 2819
24, 1808
25, 3346
26, 2739
27, 10404
28, 6671

후공 시 방문 횟수 (위치, 횟수)
1, 23153
2, 27237
3, 31276
4, 24140
5, 29095
6, 16198
7, 14777
8, 12394
9, 13797
10, 11959
11, 9670
12, 8419
13, 7442
14, 8121
15, 34914
16, 24212
17, 12346
18, 5596
19, 1652
20, 8855
21, 10239
22, 21249
23, 2406
24, 1568
25, 2817
26, 2279
27, 9371
28, 5808
