round,date,num_winners,reward,first,second,third,fourth,fifth,sixth,bonus,win
1062,2023.04.08,7,3801933804,20,31,32,40,41,45,12,1
1062,2023.04.08,0,0,44,29,25,31,42,33,6,0
1061,2023.04.01,11,2422768773,4,24,27,35,37,45,15,1
1061,2023.04.01,0,0,17,12,1,23,43,10,3,0
1060,2023.03.25,28,898238907,3,10,24,33,38,45,36,1
1060,2023.03.25,0,0,10,32,45,36,39,2,21,0
1059,2023.03.18,13,2033168481,7,10,22,25,34,40,27,1
1059,2023.03.18,0,0,1,11,25,38,31,29,22,0
1058,2023.03.11,13,2058020250,11,23,25,30,32,40,42,1
1058,2023.03.11,0,0,45,3,6,39,26,1,20,0
1057,2023.03.04,17,1616069714,8,13,19,27,40,45,12,1
1057,2023.03.04,0,0,18,40,7,33,27,8,41,0
1056,2023.02.25,14,1969662456,13,20,24,32,36,45,29,1
1056,2023.02.25,0,0,19,23,18,4,2,17,26,0
1055,2023.02.18,11,2362815205,4,7,12,14,22,33,31,1
1055,2023.02.18,0,0,13,4,43,18,29,39,45,0
1054,2023.02.11,9,3147925709,14,19,27,28,30,45,33,1
1054,2023.02.11,0,0,38,27,41,42,6,34,44,0
1053,2023.02.04,7,4090367411,22,26,29,30,34,45,15,1
1053,2023.02.04,0,0,38,41,13,17,29,27,33,0
1052,2023.01.28,11,2341682762,5,17,26,27,35,38,1,1
1052,2023.01.28,0,0,1,23,9,14,8,12,7,0
1051,2023.01.21,18,1669558480,21,26,30,32,33,35,44,1
1051,2023.01.21,0,0,6,44,26,37,17,45,33,0
1050,2023.01.14,17,1535083280,6,12,31,35,38,43,17,1
1050,2023.01.14,0,0,16,42,22,30,4,28,1,0
1049,2023.01.07,15,1727810100,3,5,13,20,21,37,17,1
1049,2023.01.07,0,0,14,45,42,9,8,1,38,0
1048,2022.12.31,17,1612494508,6,12,17,21,32,39,30,1
1048,2022.12.31,0,0,42,19,37,30,28,22,44,0
1047,2022.12.24,9,2748797875,2,20,33,40,42,44,32,1
1047,2022.12.24,0,0,26,42,36,33,15,21,17,0
1046,2022.12.17,12,2011415719,7,16,25,29,35,36,28,1
1046,2022.12.17,0,0,2,26,5,12,40,14,27,0
1045,2022.12.10,13,1990060443,6,14,15,19,21,41,37,1
1045,2022.12.10,0,0,20,44,10,21,9,3,29,0
1044,2022.12.03,8,3136941235,12,17,20,26,28,36,4,1
1044,2022.12.03,0,0,19,44,7,9,18,26,29,0
1043,2022.11.26,17,1468646956,3,5,12,22,26,31,19,1
1043,2022.11.26,0,0,18,27,23,32,11,30,21,0
1042,2022.11.19,20,1240663669,5,14,15,23,34,43,4,1
1042,2022.11.19,0,0,15,33,3,31,23,44,24,0
1041,2022.11.12,25,935091165,6,7,9,11,17,18,45,1
1041,2022.11.12,0,0,33,15,8,45,11,39,37,0
1040,2022.11.05,7,3660482625,8,16,26,29,31,36,11,1
1040,2022.11.05,0,0,20,3,17,11,5,35,13,0
1039,2022.10.29,16,1585019672,2,3,6,19,36,39,26,1
1039,2022.10.29,0,0,1,44,27,29,12,35,21,0
1038,2022.10.22,15,1627457225,7,16,24,27,37,44,2,1
1038,2022.10.22,0,0,5,28,12,9,21,1,42,0
1037,2022.10.15,15,1708576825,2,14,15,22,27,33,31,1
1037,2022.10.15,0,0,9,8,10,4,31,11,18,0
1036,2022.10.08,9,2837323167,2,5,22,32,34,45,39,1
1036,2022.10.08,0,0,2,8,35,28,30,6,9,0
1035,2022.10.01,8,3231193735,9,14,34,35,41,42,2,1
1035,2022.10.01,0,0,40,34,43,15,33,44,16,0
1034,2022.09.24,9,2868856209,26,31,32,33,38,40,11,1
1034,2022.09.24,0,0,23,30,2,24,31,38,16,0
1033,2022.09.17,13,1913414943,3,11,15,20,35,44,10,1
1033,2022.09.17,0,0,16,24,44,11,18,3,8,0
1032,2022.09.10,10,2675257538,1,6,12,19,36,42,28,1
1032,2022.09.10,0,0,18,42,5,16,38,20,6,0
1031,2022.09.03,8,3213957563,6,7,22,32,35,36,19,1
1031,2022.09.03,0,0,40,41,4,36,29,2,45,0
1030,2022.08.27,19,1276406507,2,5,11,17,24,29,9,1
1030,2022.08.27,0,0,29,40,33,11,2,4,42,0
1029,2022.08.20,10,2527848450,12,30,32,37,39,41,24,1
1029,2022.08.20,0,0,16,19,35,44,30,33,10,0
1028,2022.08.13,20,1181235132,5,7,12,13,18,35,23,1
1028,2022.08.13,0,0,10,13,43,11,6,44,31,0
1027,2022.08.06,10,2460504338,14,16,27,35,39,45,5,1
1027,2022.08.06,0,0,8,5,10,9,24,19,4,0
1026,2022.07.30,15,1619118475,5,12,13,31,32,41,34,1
1026,2022.07.30,0,0,7,16,6,17,1,26,15,0
1025,2022.07.23,4,6118853344,8,9,20,25,29,33,7,1
1025,2022.07.23,0,0,15,18,20,29,33,38,7,0
1024,2022.07.16,8,3020323500,9,18,20,22,38,44,10,1
1024,2022.07.16,0,0,26,7,24,44,39,1,16,0
1023,2022.07.09,9,2745677875,10,14,16,18,29,35,25,1
1023,2022.07.09,0,0,33,32,26,22,27,43,20,0
1022,2022.07.02,5,4866468075,5,6,11,29,42,45,28,1
1022,2022.07.02,0,0,29,13,31,37,4,8,26,0
1021,2022.06.25,12,2108962250,12,15,17,24,29,45,16,1
1021,2022.06.25,0,0,34,13,16,26,42,40,3,0
1020,2022.06.18,13,1966431520,12,27,29,38,41,45,6,1
1020,2022.06.18,0,0,39,3,29,15,19,5,23,0
1019,2022.06.11,50,438565140,1,4,13,17,34,39,6,1
1019,2022.06.11,0,0,45,13,19,37,10,40,14,0
1018,2022.06.04,2,12361744688,3,19,21,25,37,45,35,1
1018,2022.06.04,0,0,30,25,34,2,28,27,38,0
1017,2022.05.28,7,3517684822,12,18,22,23,30,34,32,1
1017,2022.05.28,0,0,24,36,33,21,37,39,8,0
1016,2022.05.21,11,2260660671,15,26,28,34,41,42,44,1
1016,2022.05.21,0,0,35,5,41,42,18,15,23,0
1015,2022.05.14,8,3051105610,14,23,31,33,37,40,44,1
1015,2022.05.14,0,0,30,15,13,20,4,5,35,0
1014,2022.05.07,10,2410449338,3,11,14,18,26,27,21,1
1014,2022.05.07,0,0,21,13,23,36,8,45,19,0
1013,2022.04.30,5,5047570725,21,22,26,34,36,41,32,1
1013,2022.04.30,0,0,24,23,41,44,39,38,19,0
1012,2022.04.23,13,1861944318,5,11,18,20,35,45,3,1
1012,2022.04.23,0,0,30,41,39,22,31,37,32,0
1011,2022.04.16,11,2220348512,1,9,12,26,35,38,42,1
1011,2022.04.16,0,0,41,3,33,35,2,17,22,0
1010,2022.04.09,8,3119380079,9,12,15,25,34,36,3,1
1010,2022.04.09,0,0,42,13,23,43,11,45,15,0
1009,2022.04.02,15,1702462825,15,23,29,34,40,44,20,1
1009,2022.04.02,0,0,40,43,38,34,33,37,36,0
1008,2022.03.26,11,2267377910,9,11,30,31,41,44,33,1
1008,2022.03.26,0,0,1,24,43,14,40,42,11,0
1007,2022.03.19,9,2718786375,8,11,16,19,21,25,40,1
1007,2022.03.19,0,0,26,44,31,17,11,16,21,0
1006,2022.03.12,9,2855602125,8,11,15,16,17,37,36,1
1006,2022.03.12,0,0,45,24,41,15,2,9,27,0
1005,2022.03.05,12,2061199344,8,13,18,24,27,29,17,1
1005,2022.03.05,0,0,27,6,5,21,2,14,17,0
1004,2022.02.26,10,2576251913,7,15,30,37,39,44,18,1
1004,2022.02.26,0,0,17,37,29,44,28,21,3,0
1003,2022.02.19,14,1811116822,1,4,29,39,43,45,31,1
1003,2022.02.19,0,0,15,22,25,19,31,2,9,0
1002,2022.02.12,8,3088449563,17,25,33,35,38,45,15,1
1002,2022.02.12,0,0,26,1,23,27,13,20,36,0
1001,2022.02.05,12,2077279594,6,10,12,14,20,42,15,1
1001,2022.02.05,0,0,16,31,34,4,29,3,42,0
1000,2022.01.29,22,1246819620,2,8,19,22,32,42,39,1
1000,2022.01.29,0,0,6,44,9,28,39,26,29,0
999,2022.01.22,16,1513274790,1,3,9,14,18,28,34,1
999,2022.01.22,0,0,13,14,7,26,19,16,9,0
998,2022.01.15,12,2076499657,13,17,18,20,42,45,41,1
998,2022.01.15,0,0,3,42,25,8,23,28,22,0
997,2022.01.08,19,1253749560,4,7,14,16,24,44,20,1
997,2022.01.08,0,0,10,28,18,29,21,23,24,0
996,2022.01.01,18,1491185771,6,11,15,24,32,39,28,1
996,2022.01.01,0,0,43,5,19,25,41,12,39,0
995,2021.12.25,7,3447271875,1,4,13,29,38,39,7,1
995,2021.12.25,0,0,29,38,15,2,11,12,34,0
994,2021.12.18,12,1861582063,1,3,8,24,27,35,28,1
994,2021.12.18,0,0,16,41,3,7,6,33,2,0
993,2021.12.11,6,3991197063,6,14,16,18,24,42,44,1
993,2021.12.11,0,0,24,10,19,4,22,6,3,0
992,2021.12.04,12,1986955563,12,20,26,33,44,45,24,1
992,2021.12.04,0,0,43,45,17,41,30,15,14,0
991,2021.11.27,8,2904166032,13,18,25,31,33,44,38,1
991,2021.11.27,0,0,31,36,23,14,41,45,19,0
990,2021.11.20,14,1740095277,2,4,25,26,36,37,28,1
990,2021.11.20,0,0,30,3,23,7,15,20,12,0
989,2021.11.13,4,5826768563,17,18,21,27,29,33,26,1
989,2021.11.13,0,0,13,37,24,28,27,26,10,0
988,2021.11.06,9,2678489375,2,13,20,30,31,41,27,1
988,2021.11.06,0,0,36,32,9,43,19,17,27,0
987,2021.10.30,10,2378711625,2,4,15,23,29,38,7,1
987,2021.10.30,0,0,31,36,18,8,29,37,25,0
986,2021.10.23,10,2375275125,7,10,16,28,41,42,40,1
986,2021.10.23,0,0,20,36,11,12,43,2,40,0
985,2021.10.16,10,2434752975,17,21,23,30,34,44,19,1
985,2021.10.16,0,0,16,32,3,1,42,9,14,0
984,2021.10.09,7,3453006268,3,10,23,35,36,37,18,1
984,2021.10.09,0,0,14,41,43,29,26,1,24,0
983,2021.10.02,10,2503422225,13,23,26,31,35,43,15,1
983,2021.10.02,0,0,6,9,19,29,13,3,16,0
982,2021.09.25,8,3023630672,5,7,13,20,21,44,33,1
982,2021.09.25,0,0,7,2,39,44,31,36,14,0
981,2021.09.18,13,1992863193,27,36,37,41,43,45,32,1
981,2021.09.18,0,0,12,40,34,37,8,36,11,0
980,2021.09.11,7,3409443215,3,13,16,23,24,35,14,1
980,2021.09.11,0,0,19,1,10,4,9,38,11,0
979,2021.09.04,14,1606400518,7,11,16,21,27,33,24,1
979,2021.09.04,0,0,42,12,9,7,15,11,1,0
978,2021.08.28,10,2373391388,1,7,15,32,34,42,8,1
978,2021.08.28,0,0,33,44,27,30,42,24,43,0
977,2021.08.21,14,1669905911,2,9,10,14,22,44,16,1
977,2021.08.21,0,0,43,16,45,27,4,15,17,0
976,2021.08.14,7,3243867215,4,12,14,25,35,37,2,1
976,2021.08.14,0,0,7,2,5,25,11,16,30,0
975,2021.08.07,9,2440410375,7,8,9,17,22,24,5,1
975,2021.08.07,0,0,43,35,16,34,9,26,12,0
974,2021.07.31,17,1317034523,1,2,11,16,39,44,32,1
974,2021.07.31,0,0,16,19,28,5,33,38,24,0
973,2021.07.24,8,2912742750,22,26,31,37,41,42,24,1
973,2021.07.24,0,0,39,34,28,38,37,10,13,0
972,2021.07.17,20,1124886244,3,6,17,23,37,39,26,1
972,2021.07.17,0,0,28,29,17,36,5,15,27,0
971,2021.07.10,6,3725880250,2,6,17,18,21,26,7,1
971,2021.07.10,0,0,8,44,30,2,27,19,45,0
970,2021.07.03,14,1611544045,9,11,16,21,28,36,5,1
970,2021.07.03,0,0,26,23,5,42,22,33,6,0
969,2021.06.26,20,1149427894,3,9,10,29,40,45,7,1
969,2021.06.26,0,0,36,23,19,45,30,4,24,0
968,2021.06.19,13,1667729683,2,5,12,14,24,39,33,1
968,2021.06.19,0,0,37,7,34,1,2,13,19,0
967,2021.06.12,4,5809776094,1,6,13,37,38,40,9,1
967,2021.06.12,0,0,11,42,35,45,10,29,1,0
966,2021.06.05,10,2411303513,1,21,25,29,34,37,36,1
966,2021.06.05,0,0,5,27,20,33,1,36,40,0
965,2021.05.29,7,3403348929,2,13,25,28,29,36,34,1
965,2021.05.29,0,0,35,22,18,8,12,10,2,0
964,2021.05.22,10,2345861063,6,21,36,38,39,43,30,1
964,2021.05.22,0,0,44,21,14,2,8,13,25,0
963,2021.05.15,15,1476478125,6,12,19,23,34,42,35,1
963,2021.05.15,0,0,24,23,2,42,6,29,10,0
962,2021.05.08,12,1940906094,1,18,28,31,34,43,40,1
