Displacement(m),Load(kN),Stress(kPa),Strain
1e-05,2.3,1171.3806248551687,0.0001
1e-05,2.4,1222.310217240176,0.0001
1e-05,2.5,1273.2398096251834,0.0001
1e-05,2.6,1324.1694020101909,0.0001
1e-05,2.7,1375.0989943951981,0.0001
1e-05,2.8,1426.0285867802054,0.0001
1e-05,2.9,1476.9581791652126,0.0001
1e-05,3.0,1527.8877715502201,0.0001
1e-05,3.1,1578.8173639352274,0.0001
1e-05,3.2,1629.7469563202349,0.0001
1e-05,3.3,1680.6765487052419,0.0001
1e-05,3.4,1731.6061410902494,0.0001
1e-05,3.5,1782.5357334752568,0.0001
1e-05,3.6,1833.465325860264,0.0001
1e-05,3.7,1884.3949182452716,0.0001
1e-05,3.8,1935.3245106302786,0.0001
1e-05,3.9,1986.254103015286,0.0001
1e-05,4.0,2037.1836954002933,0.0001
1e-05,4.1,2088.1132877853006,0.0001
1e-05,4.2,2139.0428801703083,0.0001
1e-05,4.3,2189.972472555315,0.0001
1e-05,4.4,2240.902064940323,0.0001
2e-05,4.5,2291.83165732533,0.0002
2e-05,4.6,2342.7612497103373,0.0002
2e-05,4.7,2393.690842095345,0.0002
2e-05,4.8,2444.620434480352,0.0002
2e-05,4.9,2495.5500268653595,0.0002
2e-05,5.0,2546.479619250367,0.0002
2e-05,5.1,2597.409211635374,0.0002
2e-05,5.2,2648.3388040203818,0.0002
2e-05,5.3,2699.2683964053886,0.0002
2e-05,5.4,2750.1979887903963,0.0002
2e-05,5.5,2801.1275811754035,0.0002
2e-05,5.6,2852.057173560411,0.0002
2e-05,5.8,2953.9163583304253,0.0002
2e-05,5.9,3004.845950715433,0.0002
2e-05,6.0,3055.7755431004402,0.0002
2e-05,6.1,3106.7051354854475,0.0002
2e-05,6.2,3157.6347278704548,0.0002
2e-05,6.3,3208.564320255462,0.0002
2e-05,6.4,3259.4939126404697,0.0002
2e-05,6.5,3310.423505025477,0.0002
2.9999999999999997e-05,6.6,3361.3530974104838,0.0003
2.9999999999999997e-05,6.8,3463.2122821804987,0.0003
2.9999999999999997e-05,6.9,3514.1418745655064,0.0003
2.9999999999999997e-05,7.0,3565.0714669505137,0.0003
2.9999999999999997e-05,7.1,3616.0010593355205,0.0003
2.9999999999999997e-05,7.2,3666.930651720528,0.0003
2.9999999999999997e-05,7.4,3768.789836490543,0.0003
