성별,학년,계열,성적,전공선택동기,전공만족,학업적응,사회적지지,대학만족,중도탈락의도
여자,고학년,인문사회예체능,4.5,4.5,4.555555556,2,4.666666667,3.333333333,1
여자,고학년,인문사회예체능,4,3.625,4.333333333,3.666666667,5,2.333333333,2.5
여자,고학년,인문사회예체능,3.5,4,3.222222222,3.333333333,2.666666667,2.333333333,3.625
남자,고학년,인문사회예체능,4.5,4.125,3.777777778,1,4,3.333333333,2.5
여자,고학년,자연공학,4.5,3.875,3.222222222,3.333333333,3.333333333,2.333333333,2
남자,고학년,인문사회예체능,3,2.75,2.666666667,4,4,3.333333333,2
여자,고학년,인문사회예체능,3.5,4,4,2.666666667,2,3.333333333,2
여자,고학년,자연공학,3,1,2,2,2,2,4
여자,저학년,인문사회예체능,4,2,2.888888889,2.333333333,5,4,1
여자,고학년,인문사회예체능,4,4.375,4.111111111,4.333333333,5,4.666666667,2
여자,고학년,자연공학,4.5,3.875,5,2,4,3.666666667,1.75
남자,저학년,자연공학,3.5,3.5,4.222222222,3.333333333,5,2.333333333,1.125
여자,저학년,자연공학,4.5,4.625,4.888888889,4.666666667,5,4.666666667,1
여자,고학년,자연공학,4.5,4,4,3.333333333,4.666666667,3.666666667,3.375
여자,고학년,자연공학,4,3.75,4.777777778,4,4.666666667,4,1.125
여자,고학년,자연공학,4.5,3.75,4.888888889,2,5,3.333333333,1.375
남자,저학년,자연공학,4,3.75,4,2.666666667,4,3.333333333,4
여자,고학년,자연공학,4,4,4.888888889,4.333333333,4.333333333,4,1
여자,고학년,인문사회예체능,4.5,4.375,3.666666667,4.666666667,5,5,1
남자,저학년,인문사회예체능,4.5,4,4,2.666666667,4,3.333333333,2
남자,고학년,인문사회예체능,4,2.875,2.333333333,1.666666667,5,4,2.125
남자,저학년,자연공학,3.5,3.875,3.666666667,2.666666667,4,3.666666667,3.375
남자,고학년,인문사회예체능,3.5,2.5,1.888888889,1.666666667,3.333333333,2,3.5
남자,고학년,자연공학,3.5,5,5,3.333333333,4,4.666666667,2
남자,고학년,인문사회예체능,3.5,1.125,1,1,5,1,4.5
여자,고학년,인문사회예체능,4.5,3.25,3.666666667,2.666666667,4.666666667,3.333333333,1.25
남자,고학년,자연공학,4,3.25,3.111111111,2.333333333,4.333333333,3.333333333,2.25
남자,고학년,자연공학,4,5,5,3.333333333,4,2.666666667,2.625
남자,고학년,인문사회예체능,4.5,3.5,3.111111111,1,4.666666667,4.666666667,3
여자,고학년,인문사회예체능,4,3,2.888888889,3,5,3.666666667,1.5
여자,고학년,자연공학,4,2.75,3,3.333333333,4.666666667,2.333333333,1.875
여자,고학년,인문사회예체능,3.5,1,1,1,3,2,3.375
남자,고학년,자연공학,3,2.25,2.111111111,1.666666667,4.666666667,3.333333333,3.25
여자,고학년,인문사회예체능,4.5,1.5,2.666666667,2.333333333,2.666666667,1.666666667,4.5
여자,고학년,자연공학,4.5,4,3.777777778,2,4.666666667,3.666666667,1
남자,저학년,인문사회예체능,3.5,3.75,2.444444444,2,2.666666667,2.666666667,2.75
남자,저학년,인문사회예체능,3.5,4,2.888888889,2,2,2,2.75
여자,고학년,인문사회예체능,4,4.375,4.888888889,2.666666667,4.666666667,4.333333333,2
여자,고학년,자연공학,3.5,3.25,3.777777778,2,4,3.333333333,2.75
남자,저학년,인문사회예체능,4.5,2,2,3.333333333,4,3.333333333,2
남자,저학년,인문사회예체능,3.5,3.5,3.777777778,2.666666667,3.333333333,2.333333333,1.875
남자,고학년,인문사회예체능,4,3.75,3.111111111,2,2,3.333333333,2.5
여자,고학년,인문사회예체능,3.5,3.5,3.555555556,2.666666667,3.666666667,3.333333333,1.125
여자,고학년,인문사회예체능,4.5,4,4.666666667,4,5,4.333333333,1
여자,저학년,인문사회예체능,3.5,4,4,3,3.333333333,2.333333333,2.375
