Deluge, 홍수, 범람
Drought, 기쁨
Earthquake, 지진
Landslide, 산사태
Avalanche, 눈사태
Yellow dust, 황사
Typhoon, 태풍
Tidal wave, 해일
Meteorological disasters, 기상재해
Weather anomaly, 기상이변
Heat wave, 폭염
Cold spell, 한파
Climate zone, 기후대
Temperate zone, 온대지역
Tropical zone, 열대지역
Subtropical zone, 아열대지역
Subpolar zone, 냉대지역
polar zone, 한대지역
Fahrenheit, 화씨
Celsius, 섭씨
Centigrade, 섭씨
Thermometer, 온도계
Hygrometer, 습도계
Maximum temperature, 최고 기온
Minimum temperature, 최저 기온
Meteorological phenomena, 기상 현상
THI(temperature-humidity-index), 온윤지수
Seismic intensity, 지진강도
Mudslide, 진흙 사태
Squall, (눈, 비를 동반한) 돌풍
