Mercury, 수성
Venus, 금성
Earth, 지구
Mars, 화성
Jupiter, 목성
Saturn, 토성
Uranus, 천왕성
Neptune, 해왕성
Pluto, 명왕성
Cosmology, 우주론
Big bang theory, 빅뱅 이론
Astrophysics, 천체 물리학
Space exploration, 우주 탐사
Alien, 외계인
Extraterrestrial, 외계인
U.F.O., 미확인 비행 물체
Spacecraft, 우주선
space shuttle, 우주선
Astronaut, 우주비행사
cosmonaut, 우주비행사
Zero-gravity, 무중력 상태
weightlessness, 무중력 상태
Manned mission, 유인 탐사
Space probe, 우주 탐사기
Mission control, 우주 관제소
Artificial satellite, 인공 위성
Blast-off, 발사
lift-off, 발사
Launch pad, 발사대
Booster, 발사용 로켓
