Hubble telescope, 허블 망원경
Constellation, 별자리
Zodiac signs, 12궁도 별자리
Horoscope, 별자리 운세
Astrology, 점성술
Universe, 우주
Cosmos, 우주
Astronomical observation, 천체 관측
Crescent moon, 초승달
Lunar eclipse, 월식
Solar eclipse, 일식
Total eclipse, 개기식
Partial eclipse, 부분식
Astronomical telescope, 천문대
Planetarium, 천문관
Astronomy, 천문학
Celestial body, 천체
Galaxy, 은하
Nebula, 성운
Supernova, 초신성
Comet, 혜성
Meteor, 유성
Meteorite, 운석
Asteroid, 소행성
Satellite, 위성
Planet, 행성
Fixed star, 항성
Solar system, 태양계
Meteor shower, 유성우
Orbit, 궤도
