Date,SP,BH
2009-01-01,825.8800049,89502
2009-02-01,735.0900269,78600
2009-03-01,797.8699951,86700
2009-04-01,872.8099976,94000
2009-05-01,919.1400146,91600
2009-06-01,919.3200073,90000
2009-07-01,987.4799805,97000
2009-08-01,1020.619995,100850
2009-09-01,1057.079956,101000
2009-10-01,1036.189941,99000
2009-11-01,1095.630005,100600
2009-12-01,1115.099976,99200
2010-01-01,1073.869995,114600
2010-02-01,1104.48999,119800
2010-03-01,1169.430054,121800
2010-04-01,1186.689941,115325
2010-05-01,1089.410034,105910
2010-06-01,1030.709961,120000
2010-07-01,1101.599976,117000
2010-08-01,1049.329956,118675
2010-09-01,1141.199951,124500
2010-10-01,1183.26001,119300
2010-11-01,1180.550049,120200
2010-12-01,1257.640015,120450
2011-01-01,1286.119995,122425
2011-02-01,1327.219971,131300
2011-03-01,1325.829956,125300
2011-04-01,1363.609985,124750
2011-05-01,1345.199951,118775
2011-06-01,1320.640015,116105
2011-07-01,1292.280029,111500
2011-08-01,1218.890015,109769
2011-09-01,1131.420044,106800
2011-10-01,1253.300049,116950
2011-11-01,1246.959961,118500
2011-12-01,1257.599976,114755
2012-01-01,1312.410034,117925
2012-02-01,1365.680054,117934
2012-03-01,1408.469971,121900
2012-04-01,1397.910034,120800
2012-05-01,1310.329956,118850
2012-06-01,1362.160034,124945
2012-07-01,1379.319946,127445
2012-08-01,1406.579956,126560
2012-09-01,1440.670044,132700
2012-10-01,1412.160034,129505
2012-11-01,1416.180054,131916
2012-12-01,1426.189941,134060
2013-01-01,1498.109985,145875
2013-02-01,1514.680054,152600
2013-03-01,1569.189941,156280
2013-04-01,1597.569946,159000
2013-05-01,1630.73999,171300
2013-06-01,1606.280029,168600
2013-07-01,1685.72998,173900
2013-08-01,1632.969971,167050
2013-09-01,1681.550049,170410
2013-10-01,1756.540039,172994
2013-11-01,1805.810059,174750
2013-12-01,1848.359985,177900
2014-01-01,1782.589966,169511
2014-02-01,1859.449951,173708
2014-03-01,1872.339966,187350
2014-04-01,1883.949951,193275
2014-05-01,1923.569946,192000
2014-06-01,1960.22998,189900
2014-07-01,1930.670044,188124
2014-08-01,2003.369995,205880
2014-09-01,1972.290039,206900
2014-10-01,2018.050049,210000
2014-11-01,2067.560059,223065
2014-12-01,2058.899902,226000
2015-01-01,1994.98999,215865
2015-02-01,2104.5,221180
2015-03-01,2067.889893,217500
2015-04-01,2085.51001,213400
2015-05-01,2107.389893,214800
2015-06-01,2063.110107,204850
2015-07-01,2103.840088,214000
2015-08-01,1972.180054,202531
2015-09-01,1920.030029,195240
2015-10-01,2079.360107,204596
2015-11-01,2080.409912,201360
2015-12-01,2043.939941,197800
2016-01-01,1940.23999,194360
2016-02-01,1932.22998,202555
2016-03-01,2059.73999,213450
2016-04-01,2065.300049,219000
2016-05-01,2096.949951,211695
2016-06-01,2098.860107,216975
2016-07-01,2173.600098,216000
2016-08-01,2170.949951,225760
2016-09-01,2168.27002,216220
2016-10-01,2126.149902,215700
2016-11-01,2198.810059,237000
2016-12-01,2238.830078,244121
2017-01-01,2278.870117,245980
2017-02-01,2363.639893,257100
2017-03-01,2362.719971,249850
2017-04-01,2384.199951,247780
2017-05-01,2411.800049,248440
2017-06-01,2423.409912,254700
2017-07-01,2470.300049,262786
2017-08-01,2471.649902,271450
2017-09-01,2519.360107,274740
2017-10-01,2575.26001,280470
2017-11-01,2647.580078,291500
2017-12-01,2673.610107,297600
2018-01-01,2823.810059,323375
2018-02-01,2713.830078,310250
2018-03-01,2640.870117,299100
2018-04-01,2648.050049,290650
2018-05-01,2705.27002,287200
2018-06-01,2718.370117,282040
2018-07-01,2816.290039,301550
2018-08-01,2901.52002,315800
2018-09-01,2913.97998,320000
2018-10-01,2711.73999,307705
2018-11-01,2760.169922,326000
2018-12-01,2506.850098,306000
2019-01-01,2704.100098,311500
2019-02-01,2784.48999,302200
2019-03-01,2834.399902,301215
2019-04-01,2945.830078,325080
2019-05-01,2752.060059,297060
2019-06-01,2941.76001,318350
2019-07-01,2980.379883,308666
2019-08-01,2926.459961,303078
2019-09-01,2976.73999,311832
2019-10-01,3037.560059,318939
2019-11-01,3140.97998,330495
2019-12-01,3230.780029,339590
2020-01-01,3225.52002,335996
2020-02-01,2954.219971,309096
2020-03-01,2584.590088,272000
2020-04-01,2912.429932,281700
2020-05-01,3044.310059,278640
2020-06-01,3100.290039,267300
2020-07-01,3271.120117,293631
2020-08-01,3500.310059,327560
2020-09-01,3363,320001
2020-10-01,3269.959961,302500
2020-11-01,3621.629883,343688
2020-12-01,3756.070068,347815
2021-01-01,3714.23999,344100
2021-02-01,3811.149902,364580
2021-03-01,3972.889893,385702
2021-04-01,4181.169922,412500
2021-05-01,4204.109863,436000
2021-06-01,4297.5,418601
2021-07-01,4395.259766,418900
2021-08-01,4522.680176,429900
2021-09-01,4307.540039,411379
2021-10-01,4605.379883,432902
2021-11-01,4567,416876
2021-12-01,4766.180176,450662
2022-01-01,4515.549805,469805
2022-02-01,4373.939941,476205
2022-03-01,4530.410156,528921
2022-04-01,4131.930176,484340
2022-05-01,4132.149902,474050
2022-06-01,3785.379883,408950
2022-07-01,4130.290039,451700
2022-08-01,3955,421308
2022-09-01,3585.620117,406470
2022-10-01,3871.97998,445050
2022-11-01,4080.110107,480280
2022-12-01,3839.5,468711
