className, methodName, marks
class tests.UserTest,testMoreFollowers,5.0
class tests.UserTest,testUser,5.0
class tests.UserTest,testMoreFollowers,5.0
class tests.UserTest,testUser,5.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testPrintTimeline,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testPrintTimeline,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testPrintTimeline,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testPrintTimeline,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testPrintTimeline,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
