File name,Time,Bottle,DepSM,PrDM,T090C,T190C,C0S/m,C1S/m,Sal00,Sal11,Sigma-00,Sigma-11,Sigma-t00,Sigma-t11,Sbox0Mm/Kg,Sbeox0ML/L,Sbeox0Mm/L,Sbeox0PS,Sbox1Mm/Kg,Sbeox1ML/L,Sbeox1Mm/L,Sbeox1PS,CStarTr0,Par,SvCM,SvCM1,FlECO-AFL,AltM,Potemp090C,Potemp190C,Latitude,Longitude,Scan
HI2011_T01.hex,2020-09-11T09:56:57,1,1000.820,1009.448,4.0916,4.0926,3.260817,3.262374,34.4365,34.4537,27.3364,27.3500,27.3284,27.3420,69.016,1.5876,70.902,21.879,67.138,1.5444,68.974,21.287,94.8981,1.0000e-12,1482.89,1482.91,-0.1814,98.71,4.0145,4.0155,20.50290,126.49508,53191
HI2011_T01.hex,2020-09-11T09:56:57,2,1000.904,1009.533,4.0908,4.0919,3.260688,3.262327,34.4358,34.4538,27.3359,27.3501,27.3279,27.3421,69.065,1.5887,70.953,21.894,67.183,1.5455,69.020,21.301,94.8923,1.0000e-12,1482.88,1482.91,-0.1945,98.71,4.0137,4.0148,20.50290,126.49508,53440
HI2011_T01.hex,2020-09-11T09:56:57,3,750.632,756.646,5.4970,5.5007,3.358927,3.360561,34.2530,34.2678,27.0322,27.0435,27.0245,27.0358,64.024,1.4723,65.755,20.957,62.370,1.4343,64.056,20.419,94.8458,1.0000e-12,1484.23,1484.26,-0.1808,98.71,5.4328,5.4364,20.50290,126.49506,63891
HI2011_T01.hex,2020-09-11T09:56:57,4,750.691,756.705,5.4973,5.4987,3.358969,3.360388,34.2532,34.2679,27.0323,27.0438,27.0246,27.0361,63.988,1.4715,65.718,20.945,62.407,1.4352,64.095,20.431,94.8526,1.0000e-12,1484.23,1484.26,-0.1820,76.57,5.4330,5.4343,20.50290,126.49506,64073
HI2011_T01.hex,2020-09-11T09:56:57,5,501.078,504.788,10.2570,10.2503,3.779615,3.780352,34.2284,34.2421,26.3158,26.3276,26.3055,26.3173,133.730,3.0732,137.249,48.697,131.223,3.0156,134.677,47.782,94.8484,1.0000e-12,1498.14,1498.13,-0.1584,98.71,10.1971,10.1905,20.50290,126.49506,74493
HI2011_T01.hex,2020-09-11T09:56:57,6,501.069,504.779,10.2493,10.2439,3.778991,3.779913,34.2293,34.2437,26.3178,26.3300,26.3075,26.3197,133.502,3.0680,137.015,48.606,131.059,3.0119,134.510,47.716,94.8431,1.0000e-12,1498.11,1498.11,-0.1858,98.71,10.1895,10.1841,20.50290,126.49506,74663
HI2011_T01.hex,2020-09-11T09:56:57,7,300.558,302.636,17.3577,17.3601,4.509602,4.511420,34.7479,34.7615,25.2475,25.2573,25.2353,25.2451,182.323,4.1855,186.927,76.866,178.148,4.0897,182.648,75.116,94.8188,1.0000e-12,1518.64,1518.66,-0.2032,98.71,17.3070,17.3094,20.50290,126.49506,83329
HI2011_T01.hex,2020-09-11T09:56:57,8,300.699,302.778,17.3643,17.3567,4.510265,4.511222,34.7479,34.7627,25.2459,25.2590,25.2337,25.2468,181.891,4.1756,186.483,76.693,178.603,4.1002,183.115,75.304,94.8230,1.0000e-12,1518.66,1518.65,-0.1789,98.71,17.3135,17.3060,20.50290,126.49506,83543
HI2011_T01.hex,2020-09-11T09:56:57,9,200.263,201.598,22.3173,22.2082,5.025940,5.017714,34.9095,34.9327,24.0711,24.1196,24.0597,24.1082,174.418,3.9995,178.616,80.534,169.197,3.8799,173.278,77.987,94.7167,1.0000e-12,1530.96,1530.70,-0.0980,98.71,22.2770,22.1680,20.50290,126.49506,89065
HI2011_T01.hex,2020-09-11T09:56:57,10,200.459,201.795,22.2244,22.2080,5.018714,5.017716,34.9275,34.9329,24.1110,24.1197,24.0997,24.1084,173.469,3.9779,177.651,79.976,169.646,3.8902,173.738,78.194,94.7177,1.0000e-12,1530.74,1530.71,-0.0924,98.71,22.1842,22.1678,20.50290,126.49506,89244
HI2011_T01.hex,2020-09-11T09:56:57,11,136.426,137.314,25.9172,25.9200,5.373238,5.375027,34.7398,34.7507,22.8723,22.8796,22.8628,22.8701,194.198,4.4478,198.640,95.202,190.139,4.3549,194.489,93.223,94.1599,1.0000e-12,1538.62,1538.63,0.1992,98.71,25.8867,25.8895,20.50290,126.49506,94481
HI2011_T01.hex,2020-09-11T09:56:57,12,136.301,137.188,25.9362,25.9477,5.375024,5.377521,34.7385,34.7479,22.8654,22.8689,22.8559,22.8594,194.330,4.4508,198.774,95.296,190.034,4.3525,194.380,93.213,94.1467,1.0000e-12,1538.66,1538.70,0.2116,98.71,25.9056,25.9171,20.50290,126.49506,94671
HI2011_T01.hex,2020-09-11T09:56:57,13,90.516,91.095,27.9722,27.9682,5.577719,5.578885,34.6779,34.6889,22.1685,22.1781,22.1615,22.1711,199.977,4.5770,204.410,101.330,195.138,4.4663,199.466,98.879,94.0563,1.0000e-12,1542.46,1542.47,0.0640,98.71,27.9507,27.9468,20.50290,126.49506,98695
HI2011_T01.hex,2020-09-11T09:56:57,14,90.556,91.135,27.9777,27.9774,5.578188,5.579717,34.6771,34.6881,22.1661,22.1745,22.1591,22.1675,200.979,4.6000,205.434,101.846,195.045,4.4642,199.370,98.845,94.0574,1.0000e-12,1542.47,1542.49,0.0640,98.71,27.9563,27.9559,20.50290,126.49506,98860
HI2011_T01.hex,2020-09-11T09:56:57,15,75.091,75.569,28.5429,28.5443,5.628170,5.629865,34.6158,34.6265,21.9334,21.9410,21.9274,21.9350,195.733,4.4789,200.026,100.050,190.121,4.3505,194.293,97.190,93.9971,1.0000e-12,1543.39,1543.40,-0.0139,98.71,28.5249,28.5262,20.50290,126.49506,101455
HI2011_T01.hex,2020-09-11T09:56:57,16,75.054,75.532,28.5416,28.5443,5.628048,5.629891,34.6159,34.6267,21.9339,21.9411,21.9280,21.9351,195.256,4.4680,199.539,99.804,190.333,4.3553,194.509,97.299,94.0188,1.0000e-12,1543.38,1543.40,0.0160,98.71,28.5235,28.5263,20.50290,126.49506,101680
HI2011_T01.hex,2020-09-11T09:56:57,17,50.325,50.642,29.8070,29.8085,5.754310,5.756047,34.5738,34.5845,21.4766,21.4841,21.4724,21.4799,180.756,4.1343,184.638,94.235,177.165,4.0522,180.971,92.372,94.1891,1.0000e-12,1545.62,1545.63,-0.0574,98.71,29.7945,29.7960,20.50290,126.49506,104642
HI2011_T01.hex,2020-09-11T09:56:57,18,50.342,50.659,29.8067,29.8090,5.754296,5.756123,34.5739,34.5847,21.4768,21.4841,21.4726,21.4799,181.581,4.1532,185.481,94.665,176.466,4.0362,180.258,92.008,94.1928,1.0000e-12,1545.62,1545.63,-0.0562,98.71,29.7942,29.7965,20.50290,126.49506,104802
HI2011_T01.hex,2020-09-11T09:56:57,19,30.602,30.793,29.9776,29.9794,5.764509,5.766302,34.5265,34.5373,21.3815,21.3889,21.3789,21.3863,180.860,4.1363,184.727,94.514,176.108,4.0277,179.875,92.040,94.1335,6.9775e-03,1545.59,1545.61,-0.1291,98.71,29.9699,29.9718,20.50290,126.49506,107685
HI2011_T01.hex,2020-09-11T09:56:57,20,30.448,30.639,29.9759,29.9780,5.764357,5.766141,34.5266,34.5372,21.3822,21.3894,21.3796,21.3868,181.506,4.1511,185.387,94.849,176.958,4.0471,180.743,92.482,94.1277,5.3667e-03,1545.58,1545.60,-0.1584,98.71,29.9683,29.9704,20.50290,126.49506,107867
