Date,rBH,rSP,SmB,HmL
1/2/2009,-0.121807334,-0.109931198,0.0005,-0.0695
1/3/2009,0.103053435,0.085404462,0.0004,0.0348
1/4/2009,0.084198385,0.093925079,0.0539,0.0536
1/5/2009,-0.025531915,0.053081446,-0.0252,0.0027
1/6/2009,-0.017467249,0.000195827,0.0263,-0.0273
1/7/2009,0.077777778,0.074141727,0.0187,0.0484
1/8/2009,0.039690722,0.033560189,-0.0108,0.0763
1/9/2009,0.001487357,0.035723346,0.0243,0.0104
1/10/2009,-0.01980198,-0.019762001,-0.0434,-0.042
1/11/2009,0.016161616,0.057364062,-0.0239,-0.0034
1/12/2009,-0.013916501,0.017770571,0.0604,-0.0017
1/1/2010,0.155241935,-0.036974246,0.004,0.0043
1/2/2010,0.045375218,0.028513689,0.0119,0.0323
1/3/2010,0.016694491,0.058796426,0.0148,0.0221
1/4/2010,-0.05316092,0.01475923,0.0487,0.0289
1/5/2010,-0.081638847,-0.081975842,0.0009,-0.0244
1/6/2010,0.133037485,-0.053882442,-0.0182,-0.047
1/7/2010,-0.025,0.06877785,0.0022,-0.0033
1/8/2010,0.014316239,-0.047449184,-0.0298,-0.0193
1/9/2010,0.049083632,0.087551103,0.0397,-0.0318
1/10/2010,-0.041767068,0.036855994,0.0119,-0.0251
1/11/2010,0.007544007,-0.00229025,0.0374,-0.0092
1/12/2010,0.002079867,0.06530004,0.0069,0.0376
1/1/2011,0.016396845,0.022645574,-0.0245,0.0075
1/2/2011,0.072493363,0.031956564,0.0153,0.0127
1/3/2011,-0.045696877,-0.001047313,0.0256,-0.0185
1/4/2011,-0.004389465,0.02849538,-0.0033,-0.0249
1/5/2011,-0.047895792,-0.013500953,-0.0067,-0.02
1/6/2011,-0.022479478,-0.018257461,-0.0015,-0.0039
1/7/2011,-0.039662375,-0.021474426,-0.0127,-0.009
1/8/2011,-0.015524664,-0.056791107,-0.0305,-0.0236
1/9/2011,-0.027047709,-0.071761988,-0.0331,-0.0172
1/10/2011,0.095037453,0.107723039,0.0328,0.001
1/11/2011,0.013253527,-0.005058715,-0.0016,-0.0045
1/12/2011,-0.031603376,0.008532764,-0.0059,0.0163
1/1/2012,0.027624069,0.043583062,0.0203,-0.0097
1/2/2012,7.63E-05,0.040589464,-0.0185,0.0043
1/3/2012,0.033628979,0.031332315,-0.0065,0.0114
1/4/2012,-0.00902379,-0.007497453,-0.0041,-0.0078
1/5/2012,-0.016142384,-0.062650726,0.0007,-0.0106
1/6/2012,0.05128313,0.039554982,0.0067,0.0062
1/7/2012,0.020008804,0.012597574,-0.0277,-0.0002
1/8/2012,-0.006944172,0.01976337,0.0048,0.013
1/9/2012,0.048514539,0.024236154,0.0051,0.016
1/10/2012,-0.024076865,-0.01978941,-0.0116,0.0359
1/11/2012,0.018617042,0.002846717,0.0064,-0.0084
1/12/2012,0.016252767,0.00706823,0.015,0.0351
1/1/2013,0.08813218,0.050428097,0.0033,0.0096
1/2/2013,0.046101114,0.011060649,-0.0028,0.0011
1/3/2013,0.024115334,0.035987724,0.0081,-0.0019
1/4/2013,0.017404658,0.018085768,-0.0236,0.0045
1/5/2013,0.077358491,0.020762812,0.0173,0.0263
1/6/2013,-0.015761821,-0.014999302,0.0133,0.0003
1/7/2013,0.03143535,0.04946208,0.0186,0.0057
1/8/2013,-0.039390454,-0.031298019,0.0028,-0.0269
1/9/2013,0.020113738,0.029749523,0.0291,-0.0122
1/10/2013,0.015163429,0.044595753,-0.0156,0.0125
1/11/2013,0.010150641,0.028049472,0.0129,0.0032
1/12/2013,0.018025751,0.023562792,-0.0045,-0.0002
1/1/2014,-0.047155705,-0.035582906,0.009,-0.0207
1/2/2014,0.024759455,0.04311703,0.0037,-0.0031
1/3/2014,0.078534092,0.006932166,-0.0185,0.0493
1/4/2014,0.0316253,0.006200789,-0.042,0.0117
1/5/2014,-0.006596818,0.02103028,-0.0188,-0.0013
1/6/2014,-0.0109375,0.019058332,0.0308,-0.007
1/7/2014,-0.009352291,-0.015079831,-0.0429,0.0003
1/8/2014,0.094384555,0.037655295,0.004,-0.0045
1/9/2014,0.004954342,-0.015513837,-0.0372,-0.0134
1/10/2014,0.014983084,0.023201461,0.042,-0.0181
1/11/2014,0.062214286,0.024533589,-0.0206,-0.0309
1/12/2014,0.0131576,-0.004188588,0.0249,0.0227
1/1/2015,-0.044845133,-0.031040806,-0.0055,-0.0358
1/2/2015,0.02462187,0.054892511,0.0061,-0.0186
1/3/2015,-0.016638032,-0.017396107,0.0304,-0.0037
1/4/2015,-0.018850575,0.00852082,-0.0303,0.0182
1/5/2015,0.00656045,0.010491382,0.0092,-0.0114
1/6/2015,-0.04632216,-0.021011672,0.029,-0.0079
1/7/2015,0.044666829,0.01974203,-0.0419,-0.0413
1/8/2015,-0.053593458,-0.062580818,0.0033,0.0277
1/9/2015,-0.035999427,-0.026442832,-0.0263,0.0056
1/10/2015,0.047920508,0.082983118,-0.0187,-0.0046
1/11/2015,-0.015816536,0.000504869,0.0359,-0.0042
1/12/2015,-0.017679778,-0.017530185,-0.0282,-0.0261
1/1/2016,-0.017391304,-0.050735322,-0.0343,0.0209
1/2/2016,0.042164026,-0.00412836,0.0071,-0.0057
1/3/2016,0.05378786,0.065991115,0.0082,0.0119
1/4/2016,0.026001405,0.002699398,0.0074,0.0328
1/5/2016,-0.033356164,0.015324602,-0.0018,-0.0166
