displacement(mm),load(kN)
0.01,2.3
0.01,2.4
0.01,2.5
0.01,2.6
0.01,2.7
0.01,2.8
0.01,2.9
0.01,3
0.01,3.1
0.01,3.2
0.01,3.3
0.01,3.4
0.01,3.5
0.01,3.6
0.01,3.7
0.01,3.8
0.01,3.9
0.01,4
0.01,4.1
0.01,4.2
0.01,4.3
0.01,4.4
0.02,4.5
0.02,4.6
0.02,4.7
0.02,4.8
0.02,4.9
0.02,5
0.02,5.1
0.02,5.2
0.02,5.3
0.02,5.4
0.02,5.5
0.02,5.6
0.02,5.8
0.02,5.9
0.02,6
0.02,6.1
0.02,6.2
0.02,6.3
0.02,6.4
0.02,6.5
0.03,6.6
0.03,6.8
0.03,6.9
0.03,7
0.03,7.1
0.03,7.2
0.03,7.4
0.03,7.5
0.03,7.6
0.03,7.7
0.03,7.8
0.03,7.9
0.03,8
0.03,8.1
0.03,8.2
0.03,8.3
0.03,8.4
0.03,8.6
0.03,8.7
0.03,8.8
0.03,8.9
0.03,9
0.03,9.1
0.03,9.2
0.03,9.3
0.04,9.3
0.04,9.4
0.04,9.5
0.04,9.6
0.04,9.7
0.04,9.8
0.04,9.9
0.04,10
0.04,10.1
0.04,10.2
0.04,10.3
0.04,10.4
0.04,10.5
0.04,10.6
0.04,10.7
0.04,10.8
0.04,10.9
0.04,11
0.04,11.1
0.04,11.2
0.04,11.3
0.04,11.4
0.04,11.5
0.04,11.6
0.04,11.7
0.05,11.8
0.05,12
0.05,12.2
0.05,12.3
0.05,12.4
0.05,12.6
0.05,12.7
0.05,12.8
0.05,12.9
0.05,13
0.05,13.1
0.05,13.2
0.05,13.3
0.05,13.4
0.05,13.5
0.05,13.6
0.05,13.7
0.05,13.8
0.05,13.9
0.05,14.1
0.05,14.2
0.05,14.3
0.05,14.4
0.06,14.4
0.06,14.6
0.06,14.7
0.06,14.8
0.06,14.9
0.06,15
0.06,15.1
0.06,15.2
0.06,15.3
0.06,15.4
0.06,15.5
0.06,15.6
0.06,15.7
0.06,15.8
0.06,15.9
0.06,16
0.06,16.1
0.06,16.2
0.06,16.3
0.06,16.4
0.06,16.5
0.06,16.6
0.06,16.7
0.06,16.9
0.06,17.1
0.06,17.2
0.06,17.3
0.07,17.4
0.07,17.6
0.07,17.8
0.07,17.9
0.07,18
0.07,18.1
0.07,18.2
0.07,18.3
0.07,18.5
0.07,18.6
0.07,18.8
0.07,18.9
0.07,19.1
0.07,19.2
0.07,19.3
0.07,19.4
0.07,19.5
0.07,19.7
0.07,19.9
0.07,20
0.07,20.1
0.07,20.2
0.07,20.3
0.07,20.4
0.07,20.6
0.07,20.7
0.08,20.9
0.08,21
0.08,21.1
0.08,21.2
0.08,21.3
0.08,21.4
0.08,21.6
0.08,21.7
0.08,21.8
0.08,22
0.08,22.2
0.08,22.4
0.08,22.5
0.08,22.7
0.08,22.9
0.08,23
0.08,23.1
