Time,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96
4/21/22 0:00,1707.79,33.72,131.48,128.38,16.56,14.13,88.79,170.75,6.04,20.8,4.3,25.58,239.02,265.9,17.51,347.07,348.16,337.0,345.21,100.35,0.51,0.51,54.91,294.21,163.84,81.78,-6.27,99.33,118.86,1947.3,95.92,96.0,92.75,2.99,13.18,157.07,41.13,49.95,108.83,165.37,162.97,7.87,180.14,96.69,57.18,7.9,7.91,19.85,40.66,34.39,80.59,65.9,113.09,134.48,136.21,110.42,130.07,117.61,140.13,722.4,165.07,2698.78,307.34,307.34,221.43,929.04,5.44,66.24,-0.21,35.22,62.88,197.07,209.29,312.57,254.12,262.65,264.32,204.25,306.25,470.27,1157.27,326.49,64.01,348.44,54.03,720.48,334.16,94.52,215.26,41.67,337.72,1.17,11.97,54.15,333.73,651.58
4/21/22 0:05,1705.47,33.74,131.59,128.46,16.56,14.13,89.29,170.71,6.03,20.69,4.3,25.56,238.96,265.73,17.5,347.1,348.13,336.97,345.23,100.67,0.51,0.51,52.87,288.35,161.96,82.21,-5.42,99.66,118.82,1949.34,96.01,96.0,93.0,3.0,13.07,158.94,41.15,49.99,109.44,165.86,163.31,7.67,174.94,96.71,57.45,7.95,7.96,19.56,40.3,34.53,80.6,65.97,112.56,134.43,136.03,112.54,129.97,117.41,140.06,717.33,164.47,2688.15,298.56,298.56,221.27,924.88,5.43,66.22,-0.21,35.25,62.83,196.87,208.99,312.38,254.01,260.71,264.01,204.09,306.05,471.21,1159.12,326.27,63.95,348.59,53.53,721.07,334.23,95.21,215.33,41.67,337.54,1.17,11.97,54.37,333.64,647.14
4/21/22 0:10,1707.65,33.76,131.64,128.44,16.57,14.13,88.98,170.48,6.04,20.79,4.3,25.41,239.17,265.53,17.52,347.13,348.22,337.14,345.36,101.27,0.5,0.5,51.18,277.84,162.97,82.82,-5.74,99.79,118.87,1948.53,96.23,96.0,93.31,3.01,12.84,159.63,40.82,50.07,109.84,166.62,163.69,7.49,164.16,96.86,57.85,7.97,7.98,19.24,39.89,34.66,80.61,66.23,112.62,134.37,135.88,113.03,129.76,117.22,139.59,723.39,163.99,2687.37,300.14,300.14,221.19,933.97,5.42,66.12,-0.21,35.21,63.16,196.58,208.67,312.39,253.83,256.43,263.79,203.79,305.94,471.83,1166.26,326.15,64.01,348.64,53.67,721.33,334.31,96.05,215.43,42.05,337.65,1.13,11.98,54.85,333.45,647.27
4/21/22 0:15,1707.87,33.76,131.47,128.42,16.54,14.12,88.69,170.34,6.05,20.98,4.3,25.35,239.12,265.45,17.54,347.18,348.35,337.28,345.45,99.57,0.51,0.51,55.69,285.34,162.4,81.5,-6.58,99.44,118.53,1948.98,95.94,96.0,93.49,3.01,13.18,158.7,40.78,50.1,110.43,167.3,164.37,7.36,154.78,96.86,57.99,7.96,7.97,18.99,39.69,34.69,80.6,66.33,113.0,134.41,135.94,112.59,129.82,117.36,139.69,720.44,165.03,2696.17,300.11,300.12,221.19,931.47,5.43,66.11,-0.2,35.61,63.46,196.36,208.5,312.52,253.76,253.96,263.85,203.55,306.02,471.82,1165.31,326.56,63.94,348.89,53.58,723.4,334.31,96.23,215.39,42.35,337.94,1.15,11.97,55.27,333.51,648.9
4/21/22 0:20,1707.17,33.76,131.36,128.32,16.53,14.09,88.95,170.28,6.04,21.11,4.3,25.32,239.53,265.47,17.53,347.38,348.48,337.39,345.65,99.12,0.52,0.52,54.28,280.52,163.93,80.82,-7.45,98.39,117.95,1949.75,95.94,96.0,91.93,3.03,13.18,156.4,41.01,50.04,108.45,166.56,163.45,7.11,160.37,96.92,58.02,7.93,7.94,18.9,40.15,34.63,80.61,66.33,113.59,134.49,136.25,110.19,129.94,117.48,139.96,718.4,161.35,2702.26,300.16,300.16,221.32,928.85,5.42,66.33,-0.2,35.86,63.79,196.49,208.52,312.89,253.66,255.54,264.06,203.59,306.26,471.77,1168.71,327.07,63.94,348.86,53.87,723.55,334.3,96.92,215.4,42.52,338.23,1.16,11.96,55.68,333.43,652.42
4/21/22 0:25,1707.25,33.76,131.37,128.43,16.54,14.1,88.88,170.26,6.03,21.07,4.3,25.36,239.5,265.47,17.54,347.69,348.53,337.45,345.96,99.03,0.52,0.52,51.87,272.88,165.13,80.15,-7.58,98.93,117.67,1949.63,96.0,96.0,92.31,3.0,13.18,155.02,42.62,49.86,107.9,165.46,162.49,7.38,174.71,96.98,57.83,7.91,7.92,18.9,41.05,34.57,80.61,66.32,114.07,134.72,136.49,107.84,129.86,117.39,139.88,720.85,161.9,2703.06,301.99,301.99,221.51,928.31,5.4,66.45,-0.19,36.63,64.01,196.33,208.65,313.29,253.9,255.1,264.31,203.62,306.57,470.88,1168.23,327.4,63.9,349.2,53.4,726.26,334.16,96.55,215.23,42.35,338.46,1.17,11.96,55.84,333.46,655.58
4/21/22 0:30,1704.47,33.76,131.29,128.48,16.55,14.12,89.09,170.35,6.03,20.94,4.3,25.28,239.46,265.55,17.51,347.71,348.69,337.57,345.93,99.17,0.53,0.53,51.36,264.47,163.56,80.32,-7.24,100.09,117.79,1949.06,96.23,96.0,93.94,3.0,13.18,155.42,41.25,49.9,109.9,167.04,163.77,7.27,164.93,96.47,57.98,7.92,7.93,18.9,42.0,34.6,80.59,66.28,114.03,134.85,136.55,108.45,129.83,117.14,139.81,719.22,164.15,2684.74,303.97,303.97,221.53,930.76,5.45,66.64,-0.19,37.04,64.25,196.13,208.5,313.7,254.2,254.96,264.48,203.4,306.88,470.81,1162.15,327.87,63.94,349.32,53.76,724.14,333.94,96.31,215.0,42.05,338.57,1.17,11.94,55.6,333.62,659.7
4/21/22 0:35,1699.91,33.76,131.21,128.35,16.57,14.14,89.36,170.35,6.05,20.88,4.3,25.3,239.84,265.68,17.48,347.65,348.63,337.64,345.91,100.15,0.54,0.54,51.83,258.99,160.15,81.63,-6.69,99.55,117.72,1949.31,96.51,96.0,94.62,3.01,13.18,154.37,40.93,50.0,111.12,168.98,165.58,7.01,139.55,96.68,58.04,7.93,7.94,18.82,42.91,34.67,80.5,66.3,113.68,134.73,136.3,109.02,129.96,117.22,140.05,716.36,160.49,2649.9,312.33,312.33,221.51,929.48,5.43,66.88,-0.19,37.13,64.29,196.29,208.55,313.82,254.33,255.01,264.43,203.52,306.92,471.4,1160.13,328.17,64.0,349.13,54.61,723.34,333.65,94.19,214.62,41.66,338.59,1.18,11.93,55.07,333.77,659.45
4/21/22 0:40,1699.47,33.76,131.29,128.11,16.58,14.14,88.98,170.43,6.07,20.96,4.3,25.4,240.01,265.75,17.47,347.43,348.44,337.49,345.69,100.7,0.53,0.53,51.33,257.38,162.26,82.28,-5.56,97.89,117.66,1949.1,96.65,96.0,93.57,3.02,13.18,151.46,41.23,50.05,110.0,168.92,165.85,6.99,133.52,97.18,57.77,7.89,7.9,18.9,43.77,34.69,80.48,66.31,114.43,134.56,136.23,106.15,130.3,117.56,140.33,719.17,160.41,2614.45,319.33,319.34,221.49,924.07,5.43,67.01,-0.18,36.91,64.3,196.19,208.47,313.5,254.3,254.72,264.16,203.5,306.74,473.14,1157.71,327.88,64.05,349.04,55.43,723.12,333.5,93.24,214.25,42.16,338.58,1.18,11.93,54.63,333.81,656.14
4/21/22 0:45,1701.83,33.76,131.5,127.99,16.59,14.14,88.68,170.35,6.1,21.06,4.3,25.34,239.95,265.76,17.47,347.37,348.35,337.36,345.57,101.0,0.53,0.53,55.06,265.63,162.47,82.37,-4.8,97.28,118.4,1948.84,96.56,96.0,92.81,3.02,13.07,148.91,41.35,50.07,108.82,167.64,164.92,7.13,140.91,96.91,57.45,7.83,7.84,18.85,44.54,34.57,80.52,66.1,114.87,134.52,136.55,103.11,130.55,117.91,140.46,718.22,165.61,2612.17,321.14,321.14,221.37,927.46,5.45,66.79,-0.19,36.45,64.34,195.7,207.86,313.02,254.09,254.81,263.73,202.91,306.33,473.7,1161.9,327.26,64.05,348.97,55.39,724.75,333.41,94.33,214.06,42.44,338.62,1.18,11.94,54.47,333.81,654.04
