Time,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96
6/13/22 0:00,1300.42,33.47,129.54,126.46,16.31,14.12,57.22,175.54,6.24,38.61,4.55,16.89,252.56,268.48,18.13,347.31,348.11,338.65,347.05,99.05,0.47,0.47,61.73,224.98,125.86,86.63,24.70,103.17,113.18,1942.92,98.09,99.00,83.83,2.86,6.81,89.11,36.13,48.88,102.30,163.07,156.33,4.47,138.14,90.91,58.75,7.96,7.95,24.12,28.29,32.72,110.35,68.58,108.12,131.22,132.59,61.05,126.47,116.54,162.91,590.54,169.35,2010.40,222.70,222.70,225.29,745.73,6.18,69.36,-0.31,34.04,66.63,186.48,212.81,314.04,259.03,216.20,270.88,198.73,308.67,236.43,835.80,327.54,57.91,348.69,48.73,769.28,338.03,95.15,214.68,37.79,337.81,0.94,11.02,58.05,335.33,531.28
6/13/22 0:05,1302.43,33.47,129.47,126.57,16.30,14.13,57.36,175.42,6.25,39.01,4.55,16.92,252.46,268.54,18.12,347.29,348.14,338.69,346.99,98.37,0.48,0.48,67.03,229.21,127.88,86.01,24.80,103.13,112.70,1937.87,97.91,99.00,83.90,2.86,7.35,90.26,35.92,49.01,102.58,163.32,156.48,4.42,138.28,92.60,59.42,8.04,8.04,24.12,27.61,33.22,110.23,69.00,104.94,131.04,132.09,70.37,126.70,116.20,162.90,581.73,168.80,1991.20,252.87,252.87,225.09,747.74,6.17,69.25,-0.31,33.99,66.82,186.23,212.69,314.19,259.17,215.08,270.79,198.50,308.70,236.27,840.24,327.76,57.89,348.37,48.74,771.50,337.99,95.15,214.72,37.46,337.84,0.94,10.99,58.03,335.40,531.63
6/13/22 0:10,1300.52,33.47,129.42,126.51,16.28,14.08,57.24,175.76,6.25,39.44,4.55,16.98,252.35,268.57,18.11,347.38,348.09,338.62,347.12,98.63,0.48,0.48,64.67,224.18,127.15,86.30,24.84,102.90,112.71,1936.44,98.07,99.00,83.92,2.87,6.97,91.30,35.95,49.10,102.51,163.23,156.54,4.44,139.31,92.54,59.57,7.92,7.93,24.12,27.86,32.94,110.22,69.11,107.32,130.93,132.42,64.00,125.79,116.39,161.93,582.89,168.13,1994.67,268.65,268.65,224.94,749.39,6.17,69.51,-0.31,34.05,66.69,186.13,212.58,314.14,259.19,213.95,270.49,198.39,308.58,236.55,840.14,327.76,57.84,348.96,49.67,769.52,337.97,95.19,214.82,36.85,337.71,0.95,10.99,57.95,335.21,533.57
6/13/22 0:15,1300.20,33.47,129.57,126.44,16.26,14.05,56.90,175.84,6.24,39.61,4.55,16.91,252.62,268.55,18.00,347.46,348.32,338.90,347.26,98.41,0.47,0.47,61.62,220.35,127.04,86.10,25.02,103.01,112.71,1938.97,98.07,99.00,83.78,2.86,6.87,92.21,36.01,49.11,102.38,163.19,156.33,4.50,137.92,90.61,58.80,7.88,7.89,24.12,29.12,32.51,110.39,68.61,109.69,131.03,132.48,58.44,126.58,117.06,162.22,590.70,168.50,2013.14,227.50,227.43,225.22,744.91,6.18,69.63,-0.31,34.06,66.62,186.24,212.71,314.10,259.06,215.28,270.57,198.55,308.52,236.21,838.99,327.84,57.91,349.02,49.17,769.66,337.97,94.96,214.92,37.20,337.62,0.94,11.01,57.93,335.23,531.35
6/13/22 0:20,1299.94,33.47,129.76,126.58,16.23,14.04,58.27,175.50,6.23,39.65,4.55,16.89,252.80,268.47,17.91,347.16,348.06,338.70,347.00,98.84,0.47,0.47,58.13,220.07,126.56,86.42,25.41,102.98,112.83,1941.32,98.10,99.00,84.07,2.86,6.81,92.34,35.83,49.18,102.55,163.68,156.89,4.48,132.22,91.08,58.88,8.01,8.01,24.12,29.39,32.79,110.44,68.58,106.94,130.90,131.84,68.16,128.41,116.91,164.08,581.24,169.06,2009.19,225.30,225.35,225.34,739.72,6.18,69.42,-0.31,33.96,66.50,185.95,212.33,314.23,259.01,215.87,270.89,198.24,308.77,236.20,839.00,327.82,57.89,348.83,48.38,768.24,338.04,94.88,214.97,37.31,337.52,0.94,11.00,57.96,335.28,530.89
6/13/22 0:25,1297.98,33.47,129.67,126.68,16.29,14.08,56.92,175.50,6.25,39.79,4.55,16.94,252.64,268.41,17.81,347.24,347.91,338.52,347.00,98.92,0.47,0.47,63.43,220.12,125.97,86.53,25.52,102.64,112.97,1940.82,98.19,99.00,84.30,2.86,6.81,92.76,35.82,49.27,102.75,163.78,157.19,4.43,126.31,93.11,59.62,8.00,8.01,24.12,29.29,33.16,110.23,69.02,105.23,130.64,131.56,73.26,126.08,116.46,162.28,582.45,168.72,2004.98,257.29,257.31,225.13,748.01,6.18,69.36,-0.32,33.85,66.62,185.67,211.98,314.14,259.14,214.90,270.79,198.03,308.73,237.18,840.93,327.83,57.95,348.74,48.43,768.64,338.06,95.06,214.91,37.04,337.46,0.94,10.99,58.08,335.26,531.35
6/13/22 0:30,1296.94,33.47,129.60,126.61,16.23,14.05,57.73,175.69,6.24,39.84,4.55,16.92,252.51,268.39,17.83,347.50,348.29,338.88,347.25,98.83,0.48,0.48,67.59,220.26,125.74,86.60,25.41,102.23,112.87,1942.58,98.21,99.00,84.08,2.86,6.81,92.54,35.91,49.31,102.67,163.91,157.09,4.45,123.83,92.16,59.14,7.88,7.89,24.12,30.78,32.63,110.37,68.85,108.54,130.64,132.11,62.98,127.46,116.75,162.68,590.50,168.38,1992.98,239.23,239.23,225.15,748.17,6.18,69.47,-0.31,33.66,66.58,185.76,212.14,314.12,259.20,215.10,270.55,198.04,308.57,237.46,836.96,327.83,57.91,349.14,49.16,767.87,338.05,94.86,214.91,37.03,337.49,0.95,10.99,58.20,335.15,533.45
6/13/22 0:35,1295.59,33.47,129.73,126.56,16.24,14.06,57.58,175.74,6.24,39.89,4.55,16.91,252.62,268.42,17.88,347.20,347.93,338.56,347.03,99.39,0.48,0.48,62.51,219.88,125.32,86.94,25.15,102.06,113.12,1939.76,98.32,99.00,83.68,2.87,6.81,91.01,36.02,49.32,102.39,163.55,156.80,4.51,126.24,90.73,58.75,7.91,7.92,24.12,31.44,32.50,110.53,68.54,109.12,130.76,132.14,60.94,127.69,116.89,163.50,580.51,168.72,1991.05,255.61,255.61,225.28,743.82,6.19,69.53,-0.31,33.53,66.46,185.78,212.25,314.11,259.07,213.74,270.51,198.08,308.60,237.26,843.30,327.87,57.93,348.85,49.28,768.73,338.02,95.09,215.00,37.12,337.39,0.95,11.00,58.29,335.11,532.97
6/13/22 0:40,1295.97,33.47,129.80,126.61,16.26,14.07,57.26,175.71,6.24,39.87,4.55,16.93,252.69,268.43,17.85,347.34,348.18,338.77,347.09,99.20,0.47,0.47,61.42,219.71,124.31,86.89,24.87,102.25,113.18,1941.03,98.25,99.00,83.73,2.87,7.25,89.58,35.97,49.28,102.22,163.30,156.60,4.60,129.86,92.03,59.20,8.02,8.02,24.09,31.01,32.94,110.39,68.81,106.37,130.77,131.70,68.83,126.60,117.13,162.92,583.96,169.14,2008.76,223.04,223.04,225.33,748.69,6.19,69.52,-0.31,33.54,66.30,185.87,212.13,313.98,258.99,213.10,270.51,198.09,308.50,237.44,842.92,327.73,57.95,348.73,48.76,770.69,338.06,94.79,215.06,37.44,337.37,0.94,10.99,58.42,335.09,534.34
6/13/22 0:45,1295.72,33.47,129.82,126.60,16.25,14.06,57.05,175.49,6.23,39.92,4.55,16.89,252.58,268.51,17.82,347.39,348.13,338.75,347.15,99.25,0.47,0.47,62.75,220.01,122.80,86.97,24.90,102.47,113.28,1941.30,98.17,99.00,84.08,2.86,6.81,89.78,35.93,48.93,102.56,163.46,156.71,4.64,130.83,92.87,59.62,7.96,7.96,24.05,31.22,33.10,110.16,69.11,106.79,130.68,131.83,67.14,128.21,116.79,163.26,590.48,169.52,2009.11,238.65,238.71,225.51,747.02,6.19,69.31,-0.32,33.54,66.32,185.82,212.28,314.05,258.98,214.37,270.87,198.08,308.68,237.33,842.13,327.69,57.92,348.87,48.54,769.72,338.10,95.01,215.09,37.55,337.49,0.94,10.99,58.43,335.22,535.24
