id,Lyric,Emotion
9141,"""how I used to live my life without you""",4
351,그 한마디 하지 못해 후회만 하는 나,0
5954,그의 곁에 누군가가 있었어,2
7634,나는 지금 여기에 살아있어 차는 숨을 내쉬며 살아있어,3
4559,"""He's a genius""",2
1622,"""다른 곳엔 기대지 말자 yeah I believe and I can fly 우린 하늘을 날고 있잖아""",0
5809,You’re like a diamond of moonlight 빛나는 무언갈 찾게 해 준 걸까,2
382,그때로 돌아간다면 우린 그대롤까,0
10487,(못견딜게 세상에 어딨니 울어도 달라진 건 없어),4
6333,너와 나의 새벽은 시작일까 끝일까 어느새 우린 이미 새벽 공기에 깊이 스며들어 버린 듯해 boy,2
11831,"but now I know""",5
8136,"""'Cause I'm cleanin' out my closet""",3
3586,사랑이 내리네,1
2716,Soyez pret pour AronChupa et Albatraoz,1
1931,Are in my heart for forever,0
8898,그때까지라도 혼자라도,4
628,Been always on my mind 널 내안에,0
4633,Dance floor dance,2
1907,그 모습 그대로 그대로 그대로 내가 처음 만났던 그녀는 그대로,0
5770,I I I need you Ha,2
9606,"""너 없이 내가 살아왔던 시간들을""",4
6221,Prada,2
9018,너의 마음 속엔 흔적조차 없겠지,4
4038,"""Hollywood friends got to see them""",1
11473,돌아온다고 나에게 돌아오고 있다고,5
13143,이렇게 넌 잘사는데 나만 끝을 미뤘나 봐,5
2125,어딘가 멀리에,0
6315,I wanna fly,2
193,"""지우려 해도 소용없어 끝도 없이 너를 향해 달려""",0
2076,여보 안녕히 잘 가시게,0
13066,오늘 같은 날 마른 줄 알았던 오래된 눈물이 흐르면,5
3913,사랑하는 나의 그대여,1
12754,슬프도록 아름답던 그 미소 (너의 미소),5
741,Oh- Oh- Meet me in another life Meet me in another life,0
7788,"""Survival Survival Survival""",3
6528,졸업하기 전날 많이 울던 너 남자라고 꾹 참던 너 하고 싶었던 말 못하고 뜨거웠던 그 여름처럼,2
4527,아찔한 하이힐에 허상을 끌어안은 채 올라서 있는 무거운 몸,2
5063,"""It's another stupid summer where it's cold",2
11061,흔적조차 없이 조각난 믿음,5
2709,(My love my love),1
1591,왜 자꾸 그대가 걱정이 되는지,0
